unique_sentences,associated_user_input
"I will be out on Friday, but any other day is fine. The Jets will try to control the ball and the clock against the Rams. Has anyone else heard anything? France also was prepared to participate in a UN multinational force. I have a touch of food poisoning this morning but I may be in later. History repeated itself last season when Tenerife beat Madrid. I spoke with Greg. Ed Terry is in there twice. But the Chiefs might depend on the run, so his numbers may be limited. Trow said the profit return was very high. The reserve receiver is expected to see a specialist this week. Montpellier won the Cup at their first attempt. We are also in touch with the U. Your voice cheered me up. That would be a fitting memorial to those who died.","I will be out on Friday, but any other day is fine. The Jets will try to control the ball and the clock against the Rams. Has anyone else heard anything? France also was prepared to participate in a UN multinational force. I have a touch of food poisoning this morning but i may be in later History repeated itself last season when Tenerife beat Madrid. I spoke with Greg. Ed Terry is in there twice. But the Chiefs might depend on the run, so his numbers may be limited. Trow said the profit return was very high. The reserve receiver is expected to see a specialist this week. Montpellier won the Cup at their first attempt. We are also in touch with the U. Your voice cheered me up. That would be a fitting memorial to those who died."
"Both leading candidates have promised to create jobs. Clinton said Tuesday he would make an announcement by Thursday. Mansell has not forgotten what the ovals have meant to him, however. We don't seem to have any positive income there. I'll be up to nine or 10 by Saturday. I will review them on Monday. Diplomats are predicting that the embargo will remain in force. Chambers is still too inconsistent to start for most Fantasy teams. US vessels will form two separate training units. They really must get the money together. Go ahead and notify. I have already approved and forwarded. I didn't expect them to hand over the sites. However, he's no better than waiver wire fodder in Fantasy Football. The exercises will be staged in the West and Mid-Pacific region.","Both leading candidates have promised to create jobs. Clinton said Tuesday he would make an announcement by Thursday. Mansell has no forgotten what the ovals have meant to him, however. We don't seem to have any positive income there. I'll be up to nine or 10 by Saturday. I will reivew them on Monday. Diplomats are predicting that the embargo will remain in force. Chamers is still too inconsistent to start for most Fantasy teams. US vessels will form two separate training units. They really must get the money together. Go ahead and notify. I have already approved and forwarded. I didn't expect them to hand over the sites. However, he's no better than waiver wire fodder in Fantasy Football. The exercises will be staged in the West and Mid-Pacific region."
"A bad thing has been turned into a good thing and. Are we ready for this on Monday? Lance and I have the same chance to win. We will have some good detail by January 7. Do you have that information yet?. Can you help get this cleared up? Sunday tickets have been on sale for weeks. I'm optimistic, yes, but confident, no. Laveranues Coles will be the top receiver in his absence. John this message concerns me. We can discuss options early next week. I liked your flag. We are looking at military assistance. We will be bringing in lunch and I need to know how many to order? He is expected to play in this week's game.","A bad thing has been turned into a good thing and. Are we ready for this on Monday? Lance and I have the same chance to win. We will have some good detail by January 7. Do you have that infromation yet?, Can you help get this cleared up? Sunday tickets have been on sale for weeks. I'm optimistic, yes, but confident, no Laveranues Coles will be the top reciever in his absense. John this message concerns me. We can discuss options early next week I liked your flag. We are looking at military assistance. We wil be bringing in lunch and I need to know how many to order? He is expected to play in this week's game."
"Amy will no longer be here so I will be the only one working on this. The statement gave no further details of the incident. Lance and I have the same chance to win. Reports said Clinton feels the same way. At least then one person in Denver would be able to get in. Ladies, here's the revised September purchase. Hopefully it cheered you up a bit. He was replaced by Kent Graham. Look for McCardell to play well this week and catch a lot of passes. We currently have 6 employees. I'm waiting until she comes home. Just in case we haven't invited any of them. The group is making a pilgrimage to the Catholic shrine of Fatima. No, just Thursday and Friday of this week. That s all I have to say.","amy will no longer be here so I will be the only one working on this. the statement gave no further details of the incedent. Lance and I have the same chance to win. reports said Clinton feels the same way. At least then one person in Denver would be able to get in. Ladies, here's the revissed September purchase. Hopefully it cheered you up a bit. Her was replaced by Kent Grahm. Look for McCardell to Play well this week and catch a lot of passes. We currently have 6 emplyees. I'm waiting until she comes home. Just in case we haven't invited any of them/ the group is making a pilgrimage to the Catholic shrine of Fatima. No, just Thursday and Friday of this week. That s all I have to say."
"We sold the UK business to AEP. Soldiers would be in their barracks throughout the weekend. I'm in a meeting until noon. He said he would resist all the pressure of time deadlines. You have 15 active players. Pressure to finish my review! I'll give it to you tomorrow. My husband and I are on a waiting list to give blood. Montpellier won the Cup at their first attempt. OK I thought it was in Washington state. The area has an Armenian population but falls within Azerbajian. I am too, and we are working very hard to turn it around. He said he was not aware he suffered from it. Washington was not moving toward a unilateral lifting of the embargo. It was very nice.","we sold the uk business to AEP. Soldiers would be in their barracks throughout the weekend. I;m in a meeting until noon. he said he would resist all the pressure of time deadlines. you have 15 active players. Pressure to finish my review! I'll give it to you tomorrow. My husband and I are on a waiting list to give blood. Montpellier won the Cup at their first attempt. OK I thought it was in Washington state. The area has an Armenian popilation but falls within Azerbajian. I am too, and we are working very hard to turn it around. He said he was not aware he sufferend from it. Washington was not moving toward a unilateral lifting of the embargo. It was very nice.#"
"He said police in Dallas were also in favor of fences. On appeal they were finally placed in Division Two. Here's the September purchase for September. I am surprised such an incident could not have been prevented. Please respond if anyone has a different view. Probably need to check with HR group providing services. Send me your address. Ava, do we need to worry about this? Have a good weekend. Don't they have some conflicts here? What happened to the guy with the paper to sign? Mr. Rao, go to Washington but go with dignity. People stuck in traffic on either side of us joined in. Argentina have called off their two football internationals in Japan. That calendar was enough to put me on a diet.","He said police in Dallas were also in favor of fences. On appeal they were finally placed in Division Two. Here's the September purchase for September. I am surprised such an incident could not have been prevented. Please respond if anyone has a different view. Probably need to check with HR group providing services. Send me your address. Ava, do we need to worry about this> Have a good weekend. Don't they have some conflicts here? What happened to the guy with the paper to sign? Mr. Rao, go to Washington but go with dignity. People stuck in traffic on either side of us joined in. Argentina have called off their two football internationals in Japan. That calendar was enough to put me on a diet."
"Giants due to an ankle injury. The official agency SABA said Wednesday 25 civilians had been killed. Montpellier won the Cup at their first attempt. We obviously have a lot to talk about. We'd suggest playing Brady, who will start against. I didn't understand we were borrowing them. I have the option of starting Jim Miller or picking up Chris Weinke. I am monitoring email. Don't use Bennett this week. New switches can also be added to the Paging System. He is expected to participate in practice. Let me know when you get this. That would likely be an expensive option. He should still be able to play in the team's next game. Before I forget, there is one last change.","Giants due to an ankle injury. The official agency SABA said wednesday 25 civilians had been killed. Montpellier won the Cup at their first attempt We obviously have a lot to talk about. We'd suggest playing Brady, who will start against. I didn't understand we were borrowing them. I have the option of starting Jim Miller or picking up Chris Weinke. I am monitoring email. Don't use Bennett this week. New switches can also be added to the Paging System. HE is expected to participate in practice. Let me know when you get this. That would likely be an expensive opton. He should still be able to play in the team's next game. Before I forget, there is one last change."
"They are specifically concerned about the intercompany notes. Thailand would not be involved. Ty needs to work on our model before we could start anything anyway. There was no such accord. The Jets will try to control the ball and the clock against the Rams. I didn t mean to get you so bent out of shape. How's the share price? Another group of policemen was due to be deployed. He quoted local Yemenis as saying that 43 people had been killed. That s all I have to say. No obligation to pay. Zou, I hope you had a good flight back to Texas. Do not send small, unsuspecting children to check on my progress. You get in traffic and you have dogfights and I forget I'm on an oval. We are about to leave Heaven!","They are specifically concerned about the intercompany notes. Thailand would not be involved. Ty needs to work on our model before we could start anything anyway. There was no such accord. The Jets will try to control the ball and the clock against the Rams. I didn t mean to get you so bent out of shape. How's the share price? Another group of policemen was due to be deployed. He quoted local Yemenis as saying that 43 people had been killed. That s all I have to say. No obligation to pay. Zou, I hope you had a good flight back to Texas. Do not send small, unsuspecting children to check on my progress. You get in traffic and you have dogfights and I forget I'm on an oval. We are about to leave Heaven!"
"Lance and I have the same chance to win. You can talk to Becky! The Auction this year is hosted by EGS. John this message concerns me. You had to maintain your patience to get the job done. That would be great. Thanks for your leadership on this issue. The aviation college had already trained pilots. Board meeting running long. Clinton said Tuesday he would make an announcement by Thursday. Jane, what about this Thursday for lunch? The cause of the fire was under investigation, police said. It should save the taxpayers a considerable amount of money. They must not be distributed without our consent. The directors see significant prospects for growth.","Lance and I have the same chance to win. You can talk to Becky! The Auction this year is hosted by EGS. John this message concerns me. You had to maintain your patience to get the job done. That would be great. Thanks for your leadership on this issue. The aviation college had already trained pilots. Board meeting running long. Clinton said Tuesday he would make an announcement by Thursday. Jane, what about this Thursday for lunch? The cause of the fire was under investigation, police said. It should save the taxpayers a considerable amount of money. They must not be distributed without our consent. The directors see significant prospects for growth."
"Juntao is in Washington this week  meeting with lawmakers. If so what was it? I would expect an answer ASAP. We are on a plane coming back. Sorry for any inconvenience. I still believe a September 30 closing is unrealistic. The loans were allegedly made to players. We are delayed, got another 30 minutes on the runway. Maybe you can leave early. We obviously have a lot to talk about. I have a high level in my office. I will fax the invoice to you today. Europe has lost a great ally. If so Whitt is done. See the list below.","Juntao is in Washington this week meeting with lawmakers.  If so what was it?  I would expect an answer ASAP. We are on a plane coming back.  Sorry for any inconvenience.  I still believe a September 30 closing is unrealistic.  The loans were allegedly made to players.  We are delayed, got another 30 minutes on the runway.  Maybe you can leave early.  We obviously have a lot to talk about.  I have a high level in my office.  I will fax the invoice to you today.  Europe has lost a great ally.  If so Whitt is done.  See the list below. "
"Reserve Heap on your roster this week. Let me know if you have more questions. He also ruled out extending the safe areas. The advantage is enough for Ford motor racing director Dan Rivard. He is expected to play when the Browns return to action next week. What do you think? We are all doing reasonably well, I think. Juppe met with the president at the Oval office. Let me know if I can help. Jeff, attached is my resume. Do you have it yet?. Is that enough for this week? Reports said Clinton feels the same way. This upgrade may take up to 2 hours. Sure was good talking to you this AM.","Reserve Heap on your roster this week.  Let me know if you have more questions. He also ruled out extending the safe areas. The advantage is enough for Ford motor racing director Dan Rivard. He is expected to play when the Browns return to action next week. What do you think? We are all doing reasonably well, I think. Juppe met with the president at the Oval office. Let me know if I can help. Jeff, attached is my resume. Do you have it yet? Is that enough for this week? Reports said Clinton feels the same way. This upgrade may take up to 2 hours. Sure was good talking to you this AM."
"We only have the power of persuasion. Amy will be here to cover. Fares shown are roundtrip. As for your second question, bench Mike Anderson. When do we review with El Paso? There is substantially no difference between us. Davis was listed as questionable on the weekly injury report. You can't bench Martin, no matter how bad the matchup may be. Feel free to use Robinson if he doesn't suffer a setback. His return date is unclear. This event will be a blast. We are somewhat emasculated bystanders. Hopefully this can wait until Monday. I would like to see some of the drivers at our game. Giants, but he didn't finish it.","We only have the power of persuasion.  Amy will be here to cover.  Fares shown are roundtrip. As for your second question, bench Mike Anderson.  When do we review with El Paso? There is substantially no difference between us.  Davis was listed as questionable on the weekly injury report.  You can't bench Martin, no matter how bad the matchup may be.  Feel free to use Robinson if he doesn't suffer a setback.  His return date is unclear.  This event will be a blast.  We are somewhat emasculated bystanders Hopefully this can wait until Monday.  I would like to see some of the drivers at our game.  Giants, but he didn't finish it. "
They play Atlanta here Saturday and Sunday afternoons. The local forecasters are showing rain for Thanksgiving here. When do we review with El Paso? Let me know if you have more questions. It's too involved out here on Saturday with everybody qualifying. She started singing along softly with the radio. Suite 2750 in Downtown Denver. I think that we should enforce the agreement. I haven't seen it yet. We haven't sold the US business as yet. I think your outlined measures sound fine. Please send me an email to let me know. Just told them I thought it would be impossible. Two RAF Hercules transport planes airlifted foreign evacuees. He also ruled out extending the safe areas.,They play Atlanta here Saturday and Sunday afternoons. The local forecaster are showing rain for Thanksgiving here.  When do we review with El Paso? Let me know if you have more questions. It's too involved out here on Saturday with everybody qualifying. She started singing along softly with the radio. Suite 2750 in Downtown Denver.  I think that we should enforce the agreement. I haven't seen it yet. We haven't sold the US business as yet. I think your outlined measures sound fine. Please send me an email to let me know. Just told them I thought it would be impossible. Two RAF Hercules transport planes airlifted foreign evacuees. He also rules out extending the safe areas.
"We've already eliminated his speech therapy. I wasn't as prepared as I will be this year. Thank you for your prompt reply. But there have been so many changes in plans that I'm not surprised. People stuck in traffic on either side of us joined in. How is it going? Expect him to produce good numbers against New England. I'll send you minutes. Money wise that is. Please let me know if you need any additional information. We will have some good detail by January 7. The partial list announcement came. Mark, please take a look and let me know if you have any questions. He left the Jets  win over Miami in the second half on October. We don't seem to have any positive income there.","We've already eliminated his speech therapy. I wasn't as prepared as i will be this year Thank you for the prompt reply. But there have been so many changes in plans that i'm not surprised People stuck in traffic on either side of us joined in How is it going? Expect him to produce good numbers against New England. I'll send you minutes. Money wise that is. Please let me know if you need any additional information We will have some good detail by january 7. The partial list announcement came. Mark, please take a look and let me know if you have any questions. He left the Jets win over Miami in the second half on october. We don't seem to have any positive income here."
"We are sitting in Weil's offices, waiting to negotiate. I think we should consider this request. Not even in yet. Miller might have to wait until Sunday. I am freaking out! I hope everything worked out okay with your rent. There was no such accord. Did you see Laura's message.? Probably need to check with HR group providing services. What is the cost issue? You just can't work without me can you? Toomer has been inconsistent this season. A detailed organizational chart is attached. A Hungarian neuro surgeon said that medical supplies are low. The spokesman said its role would be to supervise the organisation.","We are sitting in Weil's offices, waiting to negotiate. I think we should consider this request. Not even in yet. MIller might have to wait until SUnday. I am freaking out! I hope everything worked out okay with your rent. There was no such accord. Did you see Laura's message.? Probably need to check with HR group providing services. What is the cost issue? You just can't work without me can you? Toomer has been inconsistent this season. A detailed organizational chart is attached. A Hungarian neuro surgeon said that medical supplies are low. The spokesman said its role would be to supervise the organization"
"She chipped in from 69 feet for a birdie at 17. Do we need to discuss? There is a 90 percent chance he is going to win. But I believe answer will be yes. I am working with Mary Joyce on that right now. On appeal they were finally placed in Division Two. As soon as I get it - I'll forward it to you. I have some more data coming. Can you call me at home? I wouldn't worry about coming in today. I thought you needed him to carry two people. We are about to leave Heaven! Jan, sorry for the inconvenience. You just can't work without me can you? A parliamentary committee will collect the public's comments.","She chipped in from 69 feet for a birdie at 17. Do we need to disscuss? There is a 90 percent chance he is going to win. But I believe answer will be yes. i am working with Mary Joyce on that right now. On appeal they were finally placed in Division Two. As soon as I get - I'LL foward it to you. I have some more data coming. Can you call me at home? I wouldnt worry about coing in today. I thought you needed him to carry twon people. We are about to leave Heaven! Jan, sorry for the incovenience. You just can't work without me can you/ A parliamentary committee will  collect the oublic's comments."
Mike Anderson will retain the starting job for now. I can get them. Or let's get creative. We will be managing our rates and we need to plan on software. I would be glad to participate. Wish me luck with Linda. Ty needs to work on our model before we could start anything anyway. Let me know if you need anything else. More jobs are to be eliminated this financial year. Mochrie remained steady in the face of the upheaval. I can be there within the hour. What level of detail do you need? What is the cost issue? The cabinet Thursday approved a revised tariff schedule. He also ruled out extending the safe areas.,Mike Anderson will retain the starting job for now.  I can get them. Or let's get creative. We will be managing our rates and we need to plan on software. I would be glad to participate. Wish me luck with Linda. Ty nedds to work on our model before we could start anything anyway. Let me know if you need anything else. More jobs are to be eliminated this financial year. Mochrie remained steady in the face of the upheaval. I can be there within the hour. What level of detail do you need? What is the cost issue? The cabinet Thursday approved a revised tariff schedule. He also ruled out extending the safe areas.
"He was professor emeritus of human development and psychiatry. Very foggy this morning. The military refuses to leave power and restore democracy by May 21. Show your friends how much you care. Michael has his holiday performance. Might include proposals with respect to Alaska. Mansell has not forgotten what the ovals have meant to him, however. I would expect an answer ASAP. He is recovering from a sprained foot. So you're ignoring me. I'm looking forward to the long weekend! As soon as anyone does that they can get nailed. John, please send this to Shelly. I think this move will not overcome the problem. Ben could tell him about Pompano.","He was professor emeritus of human development and psychiatry.  Very foggy this morning. The military refuses to leave power and restore democracy by May 21. Show your friends how much you care. Michael has his holiday performance. Might include proposals with respect to Alaska. Mansell has not forgotten what the ovals have meant to him, however.  I would expect an answer ASAP. He is recovering from a sprained foot. So you're ignoring me. I'm looking forward to the long weekend! As soon as anyone does that they can get nailed. John, please send this to Shelly. I think this move will not overcome the problem. Ben could tell him about Pompano."
"There is no average. I'll let you know after lunch. Robert ,I'm working on this right now. I'm glad you liked it. We are down to 3 employees here in Denver. Do you know anything? Add a Star Trek convention and sports memorabilia show to the mix. Surely we can cover this from within Virgo's team? He was recognized in his field as a pioneer. You can't bench Martin, no matter how bad the matchup may be. I will tell them. His return date is unclear. Yes, I am playing. Ava please put it on my calendar. I haven't seen it yet.","There is no average. I'll let you know after lunch. Robert , I'm working on this  right now. I'm glad you liked it. We are down to 3 employees here in Denver. Do you know anything? Add a Star Trek convention and sports memorablia show to the  mix. Surely we can cover this from within Virgo's team? He was recognized in his field as a pioneer. You can't bech Martin, no matter how bad the matchup may be. I will tell them. His return date is unclear. Yes, I am playing. Ava please put it on my calendar. I baven't seen it yet."
"He left the Jets  win over Miami in the second half on October. I am meeting with my direct reports at 1 to work on recommendations. France would not join a US military invasion of Haiti. It's just very confusing at first. The dollar lost ground against the major currencies. This is a major setback for the rookie. The riots were started by native Taiwanese. Chase back office and their restart plan updates individually. I've never been to the speedway, but if they come, I will go there. Brcko had been proposed as another site for a safe area. Let me consult my partner and get back with you in the morning. I know several who work there. A detailed organizational chart is attached. He is expected to play in this week's game. The Atlanta Hawks held Indiana to the lowest points total ever.","He left the jets win over miami in the second half on october.  I am meeting whith my direct reports at 1 to work on recommendations. France would not join a us miltary invasion of Haiti. It's just very confusing at first. The dollar lost ground against the major currencies. This is a major setback for the rookie. The riots were started by native Taivanese. Chase back office and their restart plan updates individually. I've never been to the speedway, but if they come, I will go there. Brcko had been proposed as another site for a safe area. Let me consult my partner and get back with you in the morning. I know several who work there. A detailed organizational chart is attached. He is expected to play in this week's game. The Atlanta Hawks held Indiana to the lowest points total ever."
"The Hawks led from late in the first quarter. The House would give them equal treatment with US banks. What is the mood? That calendar was enough to put me on a diet. I'm still in FW. The cause of the fire was under investigation, police said. I'll get you one. I need a little more stability in my work environment. Trust me, the men are the ones showing restraint. Good luck this week, I can't see any sure things out there. He is expected to play when the Browns return to action next week. Do you want to fax it to my hotel? Try it again and let me know. I know my way around the hospital better than I do the stadium. Hours are listed in 24hr format central time.","The Hawks led from late in the first quarter. The House would give them equal treatment with US banks what is the mood? That calendar was enough to put me on a diet. I'm still in FW. The cause of the fire was under investigation, police said. I'll get you one. I need a little more stability in my work environemnt. Trust me, the men are the ones showing restraint. Good luck this week, I can't see any sure things out there. He is expected to play when the Browns return to action next week. Do you want to fax it to my hotel? Try it again and let me know. I know my way around the hospital better than I do the stadium. Hours are listed in 24hr format central time."
"I wanted to get all of this out of the way before my move. Last week we reported third quarter earnings. I just want to make sure we're both on the same schedule. Reports said Clinton feels the same way. Thanks again for thinking of me. The others raise their eyebrows. Why do you ask? One would have thought I'd have this down pat by now. I have 2 different ones. Mixed signals from Washington had convinced China. I haven't had a conversation on this since 1999.  If your reasonable, I'll bereasonable. Bob, I'll take Oakland as my winner this week. Derivatives are not new. Are you feeling better?","I wanted to get all of this out of the way before my move. Last week we reported third quarter earnings. I just want to make sure we're both on the same schedule. Reports said Clinton feels the same way. Thanks again for thinking of me. The others raise their eyebrows. Why do you ask? One would have thought I'd have this down pat by now. I have 2 different ones. Mixed signals from Washington had convinced China. I haven't had a conversation on this since 1999. If your reasonable, I'll bereasonable. Bob, I'll take Oakland as my winner this week. Derivatives are not new. Are you feeling better?"
I'll call you when I get to the office. We will be managing our rates and we need to plan on software. I am fine with this. We shall try to find a common agenda. Can you get with Mary and make sure? They are more efficiently pooled. I think I have given the gaffer a decision to make. Did you differ from me? Juppe met with the president at the Oval office. You have 15 active players. Their initial review indicates that the pricing seems low. We are about to leave Heaven! The deal was nominated and cut to zero. The wind was strong and gusting. Some members of the council refuse to recognize the progress.,I['ll call you when i get to the office. We will be managing our rates and we need to plan on software. I am fine with this. We shall try to find a common agenda. Can you get with Mary and make sure? They are more efficiently pooled. I think I have given the gaffet a decision to mak. Did you differ from me? Juppe met with the president at the Oval office You have 15 active players. Their initial review indicates that the pricing seems low. We are about to leave Heaven! The deal was nominated and cut to zero. The wind was strong and gusting. Some members of the council refuse to recognize the progress.
